Discount Name,Revenue Center,Item Qty,Net Sales,Discount Amount,Gross Sales,Tax Amount
No Discount,,188,1983.73,0,1983.73,396.77,
No Discount,Lupins Private,126,1252.08,0,1252.08,250.42,
No Discount,Lupins Public,62,731.65,0,731.65,146.35,
Comp Lupins Friends & Family 20%,,28,197.68,49.39,247.07,39.52,
Comp Lupins Friends & Family 20%,Lupins Public,6,51.34,12.82,64.16,10.26,
Comp Lupins Friends & Family 20%,Lupins Private,22,146.34,36.57,182.91,29.26,
COMBO - Lupins Happy Hour Cocktail,,0,0,0,0,0,
COMBO - Lupins Happy Hour Cocktail,Lupins Public,0,0,0,0,0,
Comp Staff Meal 50%,,5,14.8,14.78,29.58,2.95,
Comp Staff Meal 50%,Lupins Public,5,14.8,14.78,29.58,2.95,
TSTDSC,,42,354.58,43.29,397.87,70.92,
TSTDSC,Lupins Public,42,354.58,43.29,397.87,70.92,
Comp Goodwill 50%,,6,47.72,47.69,95.41,9.53,
Comp Goodwill 50%,Lupins Private,6,47.72,47.69,95.41,9.53,
Comp Goodwill Open £,,3,22.08,19.58,41.66,4.42,
Comp Goodwill Open £,Lupins Private,1,0,7.08,7.08,0,
Comp Goodwill Open £,Lupins Public,2,22.08,12.5,34.58,4.42,
