Sales Category,Revenue Center,Item Qty,Net Sales,Discount Amount,Gross Sales,Tax Amount
Food,,189,1826.4,77.69,1904.09,365.3,
Food,Lupins Private,109,1004.95,59.16,1064.11,201,
Food,Lupins Public,80,821.45,18.53,839.98,164.3,
Wine,,35,585.74,30.91,616.65,117.16,
Wine,Lupins Private,23,353.25,24.66,377.91,70.65,
Wine,Lupins Public,12,232.49,6.25,238.74,46.51,
Cocktails,,23,131.83,53.11,184.94,26.37,
Cocktails,Lupins Public,19,103.17,50.11,153.28,20.63,
Cocktails,Lupins Private,4,28.66,3,31.66,5.74,
Non-Alcoholic,,16,44.62,1.68,46.3,8.88,
Non-Alcoholic,Lupins Private,14,38.78,1.68,40.46,7.72,
Non-Alcoholic,Lupins Public,2,5.84,0,5.84,1.16,
Beer,,8,27.33,10.18,37.51,5.47,
Beer,Lupins Public,4,11.5,8.5,20,2.3,
Beer,Lupins Private,4,15.83,1.68,17.51,3.17,
Spirits,,1,4.67,1.16,5.83,0.93,
Spirits,Lupins Private,1,4.67,1.16,5.83,0.93,
