Discount Name,Revenue Center,Item Qty,Net Sales,Discount Amount,Gross Sales,Tax Amount
No Discount,,2403,17595.26,0,17595.26,3518.34,
No Discount,Omeara Clubnight,1859,14731.14,0,14731.14,2946.11,
No Discount,Omeara Gig,424,2594.97,0,2594.97,518.88,
No Discount,Cloakroom Gig - Omeara,65,108.55,0,108.55,21.45,
No Discount,Cloakroom Club - Omeara,55,160.6,0,160.6,31.9,
Marketing - Feel It x £10 dbl,,47,431.67,114.33,546,86.26,
Marketing - Feel It x £10 dbl,Omeara Clubnight,47,431.67,114.33,546,86.26,
Comp Staff Drink 100%,,142,0,309.48,309.48,0,
Comp Staff Drink 100%,Omeara Clubnight,142,0,309.48,309.48,0,
Comp Feel It Rider 100%,,213,0,1518.17,1518.17,0,
Comp Feel It Rider 100%,Omeara Clubnight,213,0,1518.17,1518.17,0,
