Discount Name,Revenue Center,Item Qty,Net Sales,Discount Amount,Gross Sales,Tax Amount
No Discount,,348,2148.41,0,2148.41,429.69,
No Discount,Social Public,221,1436.73,0,1436.73,287.37,
No Discount,Social Gig,127,711.68,0,711.68,142.32,
Comp Goodwill 50%,,5,12.97,12.94,25.91,2.58,
Comp Goodwill 50%,Social Public,5,12.97,12.94,25.91,2.58,
Comp Founders 100%,,17,0,90.91,90.91,0,
Comp Founders 100%,Social Public,17,0,90.91,90.91,0,
Comp Promoter Goodwill 100%,,3,0,17.58,17.58,0,
Comp Promoter Goodwill 100%,Social Public,3,0,17.58,17.58,0,
Comp Goodwill Regulars 15%,,16,80.46,14.21,94.67,16.1,
Comp Goodwill Regulars 15%,Social Public,16,80.46,14.21,94.67,16.1,
Comp Staff Drink 100%,,8,0,39.76,39.76,0,
Comp Staff Drink 100%,Social Public,8,0,39.76,39.76,0,
Comp tvg Staff Discount 50%,,1,2.88,2.87,5.75,0.57,
Comp tvg Staff Discount 50%,Social Public,1,2.88,2.87,5.75,0.57,
Marketing - Members Pint Deal,,1,4.17,1.58,5.75,0.83,
Marketing - Members Pint Deal,Social Public,1,4.17,1.58,5.75,0.83,
