Sales Category,Revenue Center,Item Qty,Net Sales,Discount Amount,Gross Sales,Tax Amount
Cocktails,,59,514.93,1.32,516.25,102.99,
Cocktails,Social Public,59,514.93,1.32,516.25,102.99,
Spirits,,129,827.23,26.4,853.63,165.47,
Spirits,Social Public,61,421.82,26.4,448.22,84.38,
Spirits,Social Gig,68,405.41,0,405.41,81.09,
Beer,,187,838.55,151.09,989.64,167.64,
Beer,Social Public,132,545.86,151.09,696.95,109.13,
Beer,Social Gig,55,292.69,0,292.69,58.51,
Wine,,7,37.16,0,37.16,7.44,
Wine,Social Public,5,26.08,0,26.08,5.22,
Wine,Social Gig,2,11.08,0,11.08,2.22,
Non-Alcoholic,,7,11.25,0,11.25,2.25,
Non-Alcoholic,Social Gig,2,2.5,0,2.5,0.5,
Non-Alcoholic,Social Public,5,8.75,0,8.75,1.75,
No Sales Category,,10,19.77,1.04,20.81,3.98,
No Sales Category,Social Public,10,19.77,1.04,20.81,3.98,
