Discount Name,Revenue Center,Item Qty,Net Sales,Discount Amount,Gross Sales,Tax Amount
Comp tvg Staff Discount 50%,,11,55,55.01,110.01,11,
Comp tvg Staff Discount 50%,In Horto Public,5,42.92,42.91,85.83,8.58,
Comp tvg Staff Discount 50%,Flat Iron Square Public,2,6.66,6.68,13.34,1.34,
Comp tvg Staff Discount 50%,Audrey's Public,4,5.42,5.42,10.84,1.08,
No Discount,,1391,11172.16,0,11172.16,2234.69,
No Discount,Carrubo Public,148,989.79,0,989.79,198.21,
No Discount,T&B Public,118,1573.71,0,1573.71,314.79,
No Discount,Audrey's Public,118,650.33,0,650.33,129.97,
No Discount,Social Gig,82,408.2,0,408.2,81.6,
No Discount,Flat Iron Square Public,428,2822.8,0,2822.8,564.6,
No Discount,Lupins Public,72,726.26,0,726.26,145.24,
No Discount,SOJ Public,23,919.58,0,919.58,183.92,
No Discount,Social Public,157,883.54,0,883.54,176.66,
No Discount,In Horto Public,124,1431.66,0,1431.66,286.34,
No Discount,Breddos,10,75.02,0,75.02,14.98,
No Discount,Souvlaki & Chips,34,230.5,0,230.5,46.1,
No Discount,Game Keeper - FIS,46,242.04,0,242.04,48.51,
No Discount,Cluck Farmyard,31,218.73,0,218.73,43.77,
Comp Director 100%,,7,0,20.93,20.93,0,
Comp Director 100%,Audrey's Public,7,0,20.93,20.93,0,
Training 100%,,1,0,2.92,2.92,0,
Training 100%,Audrey's Public,1,0,2.92,2.92,0,
Comp Friends of Audrey's 20%,,15,59.68,14.89,74.57,11.92,
Comp Friends of Audrey's 20%,Audrey's Public,15,59.68,14.89,74.57,11.92,
Comp Staff Meal 100%,,6,0,27.15,27.15,0,
Comp Staff Meal 100%,Audrey's Public,1,0,10,10,0,
Comp Staff Meal 100%,Game Keeper - FIS,5,0,17.15,17.15,0,
Comp Staff Drink 100%,,7,0,29.49,29.49,0,
Comp Staff Drink 100%,Social Public,5,0,25.33,25.33,0,
Comp Staff Drink 100%,Lafayette Gig,2,0,4.16,4.16,0,
Marketing - Members Pint Deal,,5,20.85,7.9,28.75,4.15,
Marketing - Members Pint Deal,Social Public,5,20.85,7.9,28.75,4.15,
Comp Staff Meal 50%,,2,3.04,3.05,6.09,0.61,
Comp Staff Meal 50%,Audrey's Public,2,3.04,3.05,6.09,0.61,
Comp Goodwill 50%,,3,10.62,10.62,21.24,2.13,
Comp Goodwill 50%,Social Public,3,10.62,10.62,21.24,2.13,
Comp Goodwill Regulars 15%,,4,15.72,2.79,18.51,3.15,
Comp Goodwill Regulars 15%,Social Public,4,15.72,2.79,18.51,3.15,
Comp Promoter Goodwill 100%,,25,0,100,100,0,
Comp Promoter Goodwill 100%,Social Public,25,0,100,100,0,
