Sales Category,Revenue Center,Item Qty,Net Sales,Discount Amount,Gross Sales,Tax Amount
Liquor,,67,450.12,20.96,471.08,44.88,
Liquor,Venue Bar,9,59.12,0,59.12,5.88,
Liquor,Satellite Bar,58,391,20.96,411.96,39,
Bottled Beer,,50,279.8,5.46,285.26,27.7,
Bottled Beer,Venue Bar,20,124.22,0,124.22,12.28,
Bottled Beer,Satellite Bar,30,155.58,5.46,161.04,15.42,
NA Beverage,,8,26.26,0,26.26,2.74,
NA Beverage,Satellite Bar,5,17.2,0,17.2,1.8,
NA Beverage,Venue Bar,3,9.06,0,9.06,0.94,
Draft Beer,,14,108.26,1.82,110.08,10.74,
Draft Beer,Satellite Bar,14,108.26,1.82,110.08,10.74,
Wine,,5,43.68,0,43.68,4.32,
Wine,Satellite Bar,5,43.68,0,43.68,4.32,
Retail,,2,25.44,0,25.44,2.56,
Retail,Venue Bar,1,2.72,0,2.72,0.28,
Retail,Satellite Bar,1,22.72,0,22.72,2.28,
