Discount Name,Revenue Center,Item Qty,Net Sales,Discount Amount,Gross Sales,Tax Amount
No Discount,,118,650.33,0,650.33,129.97,
No Discount,Audrey's Public,118,650.33,0,650.33,129.97,
Comp Director 100%,,7,0,20.93,20.93,0,
Comp Director 100%,Audrey's Public,7,0,20.93,20.93,0,
Training 100%,,1,0,2.92,2.92,0,
Training 100%,Audrey's Public,1,0,2.92,2.92,0,
Comp Friends of Audrey's 20%,,15,59.68,14.89,74.57,11.92,
Comp Friends of Audrey's 20%,Audrey's Public,15,59.68,14.89,74.57,11.92,
Comp Staff Meal 100%,,1,0,10,10,0,
Comp Staff Meal 100%,Audrey's Public,1,0,10,10,0,
Comp tvg Staff Discount 50%,,4,5.42,5.42,10.84,1.08,
Comp tvg Staff Discount 50%,Audrey's Public,4,5.42,5.42,10.84,1.08,
Comp Staff Meal 50%,,2,3.04,3.05,6.09,0.61,
Comp Staff Meal 50%,Audrey's Public,2,3.04,3.05,6.09,0.61,
