Sales Category,Revenue Center,Item Qty,Net Sales,Discount Amount,Gross Sales,Tax Amount
Wine,,24,240.81,0,240.81,48.19,
Wine,Flat Iron Square Public,24,240.81,0,240.81,48.19,
Beer,,282,1665.87,6.68,1672.55,333.23,
Beer,Flat Iron Square Public,282,1665.87,6.68,1672.55,333.23,
Non-Alcoholic,,17,37.91,0,37.91,7.59,
Non-Alcoholic,Flat Iron Square Public,17,37.91,0,37.91,7.59,
Cocktails,,38,354.21,0,354.21,70.79,
Cocktails,Flat Iron Square Public,38,354.21,0,354.21,70.79,
Third Party Vendors,,126,766.29,17.15,783.44,153.36,
Third Party Vendors,Breddos,10,75.02,0,75.02,14.98,
Third Party Vendors,Souvlaki & Chips,34,230.5,0,230.5,46.1,
Third Party Vendors,Game Keeper - FIS,51,242.04,17.15,259.19,48.51,
Third Party Vendors,Cluck Farmyard,31,218.73,0,218.73,43.77,
Spirits,,69,530.66,0,530.66,106.14,
Spirits,Flat Iron Square Public,69,530.66,0,530.66,106.14,
