Discount Name,Revenue Center,Item Qty,Net Sales,Discount Amount,Gross Sales,Tax Amount
No Discount,,239,1291.74,0,1291.74,258.26,
No Discount,Social Gig,82,408.2,0,408.2,81.6,
No Discount,Social Public,157,883.54,0,883.54,176.66,
Comp Staff Drink 100%,,5,0,25.33,25.33,0,
Comp Staff Drink 100%,Social Public,5,0,25.33,25.33,0,
Marketing - Members Pint Deal,,5,20.85,7.9,28.75,4.15,
Marketing - Members Pint Deal,Social Public,5,20.85,7.9,28.75,4.15,
Comp Goodwill 50%,,3,10.62,10.62,21.24,2.13,
Comp Goodwill 50%,Social Public,3,10.62,10.62,21.24,2.13,
Comp Goodwill Regulars 15%,,4,15.72,2.79,18.51,3.15,
Comp Goodwill Regulars 15%,Social Public,4,15.72,2.79,18.51,3.15,
Comp Promoter Goodwill 100%,,25,0,100,100,0,
Comp Promoter Goodwill 100%,Social Public,25,0,100,100,0,
