Sales Category,Revenue Center,Item Qty,Net Sales,Discount Amount,Gross Sales,Tax Amount
Wine,,15,78.89,0,78.89,15.81,
Wine,Social Gig,9,47.73,0,47.73,9.57,
Wine,Social Public,6,31.16,0,31.16,6.24,
Beer,,219,985.18,136.02,1121.2,196.89,
Beer,Social Gig,64,332.8,0,332.8,66.5,
Beer,Social Public,155,652.38,136.02,788.4,130.39,
Spirits,,20,117.77,10.62,128.39,23.58,
Spirits,Social Gig,3,18.08,0,18.08,3.62,
Spirits,Social Public,17,99.69,10.62,110.31,19.96,
Cocktails,,16,140,0,140,28,
Cocktails,Social Public,16,140,0,140,28,
Non-Alcoholic,,11,17.09,0,17.09,3.41,
Non-Alcoholic,Social Gig,6,9.59,0,9.59,1.91,
Non-Alcoholic,Social Public,5,7.5,0,7.5,1.5,
