Discount Name,Revenue Center,Item Qty,Net Sales,Discount Amount,Gross Sales,Tax Amount
No Discount,,9346,60683.41,11.34,60694.75,12134.14,
No Discount,Flat Iron Square Public,907,5749.48,0,5749.48,1150.62,
No Discount,Breddos,45,351.76,0,351.76,70.24,
No Discount,Omeara Clubnight,2393,17121.25,0,17121.25,3423.7,
No Discount,In Horto Public,122,1457.93,0,1457.93,291.57,
No Discount,Lafayette Private,288,2219.17,0,2219.17,443.83,
No Discount,Lafayette Gig,980,6456.21,11.34,6467.55,1290.59,
No Discount,Lupins Private,103,980.31,0,980.31,196.19,
No Discount,Audrey's Public,175,1080.79,0,1080.79,216.11,
No Discount,Lafayette Club,1604,10717.58,0,10717.58,2142.12,
No Discount,Omeara Gig,348,2035.76,0,2035.76,407.64,
No Discount,Social Public,158,995.05,0,995.05,199.05,
No Discount,Souvlaki & Chips - Lafayette,39,207.18,0,207.18,41.42,
No Discount,Cloakroom Gig - Omeara,514,1452.13,0,1452.13,288.37,
No Discount,Social Gig,211,1130.81,0,1130.81,226.19,
No Discount,T&B Public,68,872.77,0,872.77,174.53,
No Discount,Souvlaki & Chips,98,650.93,0,650.93,130.07,
No Discount,Lupins Public,64,727.05,0,727.05,145.45,
No Discount,Game Keeper - FIS,89,575.41,0,575.41,115.24,
No Discount,SOJ Public,78,2600.79,0,2600.79,520.21,
No Discount,Cluck Farmyard,97,667.56,0,667.56,133.49,
No Discount,Carrubo Public,76,487.01,0,487.01,97.49,
No Discount,Cloakroom Gig - Lafayette,124,257.92,0,257.92,52.08,
No Discount,Cloakroom Club - Omeara,354,1033.68,0,1033.68,205.32,
No Discount,Cloakroom Club - Lafayette,411,854.88,0,854.88,172.62,
Comp Staff Drink 100%,,93,0,322.21,322.21,0,
Comp Staff Drink 100%,Social Public,6,0,29.42,29.42,0,
Comp Staff Drink 100%,Lafayette Gig,49,0,141.37,141.37,0,
Comp Staff Drink 100%,Flat Iron Square Public,32,0,108.93,108.93,0,
Comp Staff Drink 100%,Audrey's Public,6,0,42.49,42.49,0,
Comp tvg Staff Discount 50%,,41,170.79,170.71,341.5,34.11,
Comp tvg Staff Discount 50%,Social Gig,8,23.26,23.24,46.5,4.64,
Comp tvg Staff Discount 50%,Lafayette Club,15,71.46,71.46,142.92,14.29,
Comp tvg Staff Discount 50%,Social Public,12,46.48,46.44,92.92,9.27,
Comp tvg Staff Discount 50%,Flat Iron Square Public,4,20.84,20.82,41.66,4.16,
Comp tvg Staff Discount 50%,Audrey's Public,2,8.75,8.75,17.5,1.75,
Comp Staff Meal 50%,,43,174.02,174.01,348.03,34.78,
Comp Staff Meal 50%,Souvlaki & Chips - Lafayette,16,61.09,61.09,122.18,12.21,
Comp Staff Meal 50%,Lupins Private,25,107.09,107.09,214.18,21.41,
Comp Staff Meal 50%,Souvlaki & Chips,2,5.84,5.83,11.67,1.16,
Comp Feel It Rider 100%,,380,0,2467.9,2467.9,0,
Comp Feel It Rider 100%,Omeara Clubnight,380,0,2467.9,2467.9,0,
Comp Goodwill Regulars 15%,,50,299.68,52.89,352.57,59.95,
Comp Goodwill Regulars 15%,Social Public,36,223.19,39.38,262.57,44.64,
Comp Goodwill Regulars 15%,Social Gig,14,76.49,13.51,90,15.31,
Marketing - Members Pint Deal,,9,34.69,14.23,48.92,6.91,
Marketing - Members Pint Deal,Social Public,9,34.69,14.23,48.92,6.91,
Comp Promoter Goodwill 100%,,31,0,152.63,152.63,0,
Comp Promoter Goodwill 100%,Social Public,31,0,152.63,152.63,0,
Marketing - Feel It x £10 dbl,,106,897.96,250.29,1148.25,179.33,
Marketing - Feel It x £10 dbl,Omeara Clubnight,106,897.96,250.29,1148.25,179.33,
Comp Goodwill 50%,,4,18.75,18.75,37.5,3.75,
Comp Goodwill 50%,Flat Iron Square Public,4,18.75,18.75,37.5,3.75,
Comp Friends of Audrey's 20%,,7,32.6,8.15,40.75,6.52,
Comp Friends of Audrey's 20%,Audrey's Public,7,32.6,8.15,40.75,6.52,
Comp Staff Meal 100%,,8,0,46.86,46.86,0,
Comp Staff Meal 100%,Game Keeper - FIS,8,0,46.86,46.86,0,
Comp Goodwill Open £,,3,70.41,19.6,90.01,14.09,
Comp Goodwill Open £,T&B Public,3,70.41,19.6,90.01,14.09,
Comp Goodwill 100%,,64,0,373.23,373.23,0,
Comp Goodwill 100%,Lafayette Private,64,0,373.23,373.23,0,
