Sales Category,Revenue Center,Item Qty,Net Sales,Discount Amount,Gross Sales,Tax Amount
Beer,,1655,9149.41,70.73,9220.14,1829.59,
Beer,Flat Iron Square Public,650,3744.12,50.21,3794.33,749.48,
Beer,Lafayette Gig,503,2753,11.34,2764.34,550.1,
Beer,Lafayette Club,382,2050.71,0,2050.71,409.59,
Beer,Lafayette Private,62,307.49,0,307.49,61.51,
Beer,Carrubo Public,48,255.76,0,255.76,51.24,
Beer,Lupins Private,7,24.16,9.18,33.34,4.84,
Beer,In Horto Public,3,14.17,0,14.17,2.83,
Wine,,412,3687.22,724.51,4411.73,737.58,
Wine,Flat Iron Square Public,49,545.78,9.17,554.95,109.22,
Wine,Lupins Private,18,213.32,4.16,217.48,42.68,
Wine,Lafayette Gig,45,345.14,0,345.14,69.06,
Wine,Omeara Clubnight,32,104.17,300.01,404.18,20.83,
Wine,Omeara Gig,26,229.98,0,229.98,46.02,
Wine,In Horto Public,16,332.52,0,332.52,66.48,
Wine,T&B Public,69,918.18,19.6,937.78,183.62,
Wine,Lafayette Club,28,217.03,0,217.03,43.37,
Wine,Social Gig,6,30.84,0,30.84,6.16,
Wine,Social Public,7,45.33,18.34,63.67,9.07,
Wine,Lafayette Private,90,332.45,373.23,705.68,66.55,
Wine,Lupins Public,7,147.5,0,147.5,29.5,
Wine,SOJ Public,13,174.99,0,174.99,35.01,
Wine,Carrubo Public,6,49.99,0,49.99,10.01,
Spirits,,2145,19424.71,918.56,20343.27,3883.69,
Spirits,Flat Iron Square Public,73,509.98,31.23,541.21,102.02,
Spirits,Omeara Clubnight,705,6526.2,817.33,7343.53,1304.1,
Spirits,Lafayette Private,157,1456.71,0,1456.71,291.29,
Spirits,Lafayette Gig,342,3007.06,0,3007.06,601.44,
Spirits,Lafayette Club,811,7358.41,70,7428.41,1471.59,
Spirits,Omeara Gig,57,566.35,0,566.35,113.25,
Third Party Vendors,,339,2251.5,52.69,2304.19,450.2,
Third Party Vendors,Breddos,45,351.76,0,351.76,70.24,
Third Party Vendors,Souvlaki & Chips,100,656.77,5.83,662.6,131.23,
Third Party Vendors,Game Keeper - FIS,97,575.41,46.86,622.27,115.24,
Third Party Vendors,Cluck Farmyard,97,667.56,0,667.56,133.49,
