Sales Category,Revenue Center,Item Qty,Net Sales,Discount Amount,Gross Sales,Tax Amount
Beer,,110,581.2,5.41,586.61,116.3,
Beer,Carrubo Public,110,581.2,5.41,586.61,116.3,
Cocktails,,70,644.55,0,644.55,128.95,
Cocktails,Carrubo Public,70,644.55,0,644.55,128.95,
Spirits,,27,176.22,37.1,213.32,35.28,
Spirits,Carrubo Public,27,176.22,37.1,213.32,35.28,
Wine,,25,408.3,0,408.3,81.7,
Wine,Carrubo Public,25,408.3,0,408.3,81.7,
Non-Alcoholic,,9,35.43,0,35.43,7.07,
Non-Alcoholic,Carrubo Public,9,35.43,0,35.43,7.07,
No Sales Category,,9,70.84,0,70.84,14.16,
No Sales Category,Carrubo Public,9,70.84,0,70.84,14.16,
Food,,3,10.83,0,10.83,2.17,
Food,Carrubo Public,3,10.83,0,10.83,2.17,
