Discount Name,Revenue Center,Item Qty,Net Sales,Discount Amount,Gross Sales,Tax Amount
No Discount,,1822,12382.21,0,12382.21,2476.59,
No Discount,Flat Iron Square Public,1498,10134.95,0,10134.95,2027.05,
No Discount,Breddos,24,196.3,0,196.3,39.2,
No Discount,Game Keeper - FIS,124,767.41,0,767.41,153.79,
No Discount,Souvlaki & Chips,80,592.34,0,592.34,118.36,
No Discount,Cluck Farmyard,96,691.21,0,691.21,138.19,
Comp Goodwill 50%,,3,10.42,10.41,20.83,2.08,
Comp Goodwill 50%,Flat Iron Square Public,3,10.42,10.41,20.83,2.08,
Comp Staff Drink 100%,,118,0,313.6,313.6,0,
Comp Staff Drink 100%,Flat Iron Square Public,118,0,313.6,313.6,0,
Comp tvg Staff Discount 50%,,7,20.12,20.09,40.21,4.01,
Comp tvg Staff Discount 50%,Flat Iron Square Public,7,20.12,20.09,40.21,4.01,
Comp Staff Meal 100%,,3,0,14.99,14.99,0,
Comp Staff Meal 100%,Game Keeper - FIS,3,0,14.99,14.99,0,
Comp Staff Meal 50%,,2,8.96,8.96,17.92,1.79,
Comp Staff Meal 50%,Game Keeper - FIS,2,8.96,8.96,17.92,1.79,
