Sales Category,Revenue Center,Item Qty,Net Sales,Discount Amount,Gross Sales,Tax Amount
Beer,,1117,6944,63.42,7007.42,1388.83,
Beer,Flat Iron Square Public,1117,6944,63.42,7007.42,1388.83,
Non-Alcoholic,,160,115.39,236.11,351.5,23.11,
Non-Alcoholic,Flat Iron Square Public,160,115.39,236.11,351.5,23.11,
Third Party Vendors,,326,2244.98,23.95,2268.93,449.07,
Third Party Vendors,Breddos,24,196.3,0,196.3,39.2,
Third Party Vendors,Game Keeper - FIS,129,776.37,23.95,800.32,155.58,
Third Party Vendors,Souvlaki & Chips,77,581.1,0,581.1,116.1,
Third Party Vendors,Cluck Farmyard,96,691.21,0,691.21,138.19,
Spirits,,147,1062.32,44.57,1106.89,212.48,
Spirits,Flat Iron Square Public,147,1062.32,44.57,1106.89,212.48,
Cocktails,,132,1116.34,0,1116.34,223.16,
Cocktails,Flat Iron Square Public,132,1116.34,0,1116.34,223.16,
Wine,,70,927.44,0,927.44,185.56,
Wine,Flat Iron Square Public,70,927.44,0,927.44,185.56,
Food,,3,11.24,0,11.24,2.26,
Food,Souvlaki & Chips,3,11.24,0,11.24,2.26,
