Sales Category,Revenue Center,Item Qty,Net Sales,Discount Amount,Gross Sales,Tax Amount
Spirits,,1238,11940.09,944.83,12884.92,2387.84,
Spirits,Omeara Clubnight,1194,11477.01,944.83,12421.84,2295.22,
Spirits,Omeara Gig,44,463.08,0,463.08,92.62,
Beer,,870,4692.87,140.42,4833.29,937.63,
Beer,Omeara Clubnight,526,2761.3,140.42,2901.72,551.45,
Beer,Omeara Gig,344,1931.57,0,1931.57,386.18,
Wine,,53,329.19,350,679.19,65.81,
Wine,Omeara Clubnight,33,175.03,350,525.03,34.97,
Wine,Omeara Gig,20,154.16,0,154.16,30.84,
Non-Alcoholic,,509,677.29,479.22,1156.51,136.31,
Non-Alcoholic,Omeara Clubnight,495,649.47,479.22,1128.69,130.73,
Non-Alcoholic,Omeara Gig,14,27.82,0,27.82,5.58,
Cocktails,,15,118.34,27.51,145.85,23.66,
Cocktails,Omeara Clubnight,13,100,27.51,127.51,20,
Cocktails,Omeara Gig,2,18.34,0,18.34,3.66,
Cloakroom,,120,269.15,0,269.15,53.35,
Cloakroom,Cloakroom Gig - Omeara,65,108.55,0,108.55,21.45,
Cloakroom,Cloakroom Club - Omeara,55,160.6,0,160.6,31.9,
